Tirana 's national library has three copies of the " Book of Mass ' . "	S-LOC O O O O O O O O O B-MISC I-MISC E-MISC O O O
Romania 's state budget deficit jumped sharply in June to 1,242.9 billion lei for the January-June period from 596.5 billion lei in January-May , official data showed on Wednesday .	S-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
19. France 8.18	O S-LOC O
Chelsea 3 2 1 0 3 0 7	O O O O O O O O
0-1 .	O O
CALIFORNIA 61 71 .462 14	O O O O O
It was the second time Brunswijk had been charged with attempted murder in less than two years .	O O O O O S-PER O O O O O O O O O O O O
Reiterates previous " buy " recommendation after results .	O O O O O O O O O
" The choice has never been starker , the stakes today have never been higher , " Gore said . "	O O O O O O O O O O O O O O O O O S-PER O O O
NEW YORK 1996-08-23	B-LOC E-LOC O
STANSTED , England 1996-08-27	S-LOC O S-LOC O
Results of European Super League	O O B-MISC I-MISC E-MISC
9/16 - Hermawan Susanto ( Indonesia ) beat 1 - Fung Permadi ( Taiwan )	O O B-PER E-PER O S-LOC O O O O B-PER E-PER O S-LOC O
Bayern Munich 4 Bayer Leverkusen 2	O O O O O O
+3 Jim Furyk through 16	O B-PER E-PER O O
SAN FRANCISCO 54 71 .432 14	O O O O O O
2. Ellina Zvereva ( Belarus ) 65.66	O B-PER E-PER O S-LOC O O
Lokomotiv Moscow 25 9 9 7 30 24 36	O O O O O O O O O
" The message that we sent to ( Syrian President Hafez al- ) Assad is that Israel is ready at any time without preconditions to enter peace negotiations , " Israeli Foreign Minister David Levy told Israel Radio in an interview .	O O O O O O O O S-MISC O B-PER E-PER O S-PER O O S-LOC O O O O O O O O O O O O O S-MISC O O B-PER E-PER O O O O O O O
Cercle Brugge 4 0 3 1 4 5 3	O O O O O O O O O
lost , winning percentage and games behind ) :	O O O O O O O O O
Slovenia 's trade with Poland rose to $ 142.3 million in 1995 from $ 118.8 million in 1994 .	S-LOC O O O S-LOC O O O O O O O O O O O O O O
Both state agency bonds will have seven-year maturity and will be issued on September 5 , he said .	O O O O O O O O O O O O O O O O O O O
Rating : A	O O O
They have been asked to bring with them the placards they waved when Clinton addressed Ireland at a packed ceremony in Dublin city centre on December 1 , last year .	O O O O O O O O O O O O O S-PER O S-LOC O O O O O S-LOC O O O O O O O O O
Slask Wroclaw 3 Odra Wodzislaw 1	O O O O O O
RALLYING - MAKINEN WINS 1,000 LAKES RALLY .	O O S-PER O B-MISC I-MISC E-MISC O
SV Ried 5 1 1 3 6 5 4	O O O O O O O O O
A Seguin spokeswoman confirmed that no letter or call had yet been received .	O S-PER O O O O O O O O O O O O
S-1 in the former South Yemen , which united with North Yemen in 1990 .	S-MISC O O O B-LOC E-LOC O O O O B-LOC E-LOC O O O
WASHINGTON 1996-08-29	S-LOC O
Women 's singles , second round	O O O O O O
In New York , Steve Finley 's three-run homer capped a four-run eighth inning and gave the San Diego Padres a 4-3 victory over New York , spoiling Bobby Valentine 's debut as Mets ' manager .	O B-LOC E-LOC O B-PER E-PER O O O O O O O O O O O O O O O O O O B-LOC E-LOC O O B-PER E-PER O O O O O O O
SYDNEY 1996-08-22	S-LOC O
Fremantle 21 6 0 15 1673 1912 87.5 24	O O O O O O O O O
Huddersfield 2 1 0 1 3 3 3	O O O O O O O O
Sales Op profit Sales Op profit	O O O O O O
TOKYO 1996-08-26	S-LOC O
Benin won the first leg 4-1 .	S-LOC O O O O O O
Swindon 2 0 1 1 1 3 1	O O O O O O O O
Production of cold laminates was 120,500 tonnes , 4.2 percent higher than the same month last year and 11 percent higher than in June .	O O O O O O O O O O O O O O O O O O O O O O O O O
Parramatta 14 Sydney Tigers 26	O O O O O
-- Warsaw Newsroom +48 22 653 9700	O O O O O O O
Concern centred on the currency markets since Rubin 's tour de force has been his unflagging support of the dollar .	O O O O O O O S-PER O O O O O O O O O O O O O
Paris 22 3 1 18 398 795 7	O O O O O O O O
" Those little seconds were like an hour to me , " said Oncins , who promptly fired two serves barely contained by the baseline as he frittered away his best chance .	O O O O O O O O O O O O O S-PER O O O O O O O O O O O O O O O O O O O
The boy was last seen alive Sunday night when he joined his two younger brothers and father in a bedtime prayer .	O O O O O O O O O O O O O O O O O O O O O O
" We expect reasonable growth in the second half .	O O O O O O O O O O
Nice 3 0 1 2 2 5 1	O O O O O O O O
CHICAGO 69 61 .531 8	O O O O O
Dividend ( H.K. cents ) nil	O O S-LOC O O O
A Belgian brewery has offered to pay for a free round of drinks for all of the 40,000 crowd if a world record goes at the meeting , organisers said on Thursday .	O S-MISC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Named " Nirmal Hriday " ( Tender Heart ) , it was the first of a chain of 150 homes for dying , destitute people , admitting nearly 18,000 a year .	O O B-LOC E-LOC O O B-LOC E-LOC O O O O O O O O O O O O O O O O O O O O O O O O
The FFK said that since auctions began , 139.75 million shares , equivalent to 0.59 percent of Gazprom , have changed hands .	O O O O O O O O O O O O O O O O O O O O O O O
LONDON 1996-08-29	S-LOC O
" If the ( Tour 's tournament ) committee decides to change the rule I would not be against it , " said Ballesteros , Olazabal 's compatriot and Ryder Cup captain .	O O O O S-MISC O O O O O O O O O O O O O O O O O O S-PER O S-PER O O O B-MISC E-MISC O O
The new plant , which is dependent on obtaining financing , will create about 280 new jobs , Zenith said .	O O O O O O O O O O O O O O O O O O O O O
--	O
-- The analyst set a 12-month price target of $ 45 and a fiscal 1996 year earnings estimate of $ 3.09 per share , his office said .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Mansfield 3 0 1 2 2 6 1	O O O O O O O O
0-0 .	O O
Greek socialists give PM green light for election .	S-MISC O O O O O O O O
The 15-year-old Hingis , seeded 16th , was honoured to play the first match of the season 's last Grand Slam on Stadium Court but happy to hurry off with a straight-sets victory over the 112th-ranked Angeles Montolio of Spain .	O O S-PER O O O O O O O O O O O O O O O O B-MISC E-MISC O B-LOC E-LOC O O O O O O O O O O O O B-PER E-PER O S-LOC O
West Bromwich 3 0 2 1 2 3 2	O O O O O O O O O
3 - Wayne Ferreira ( South Africa ) beat 7 - Todd Martin ( U.S. )	O O B-PER E-PER O B-LOC E-LOC O O O O B-PER E-PER O S-LOC O
Attendance 10,760 .	O O O
Israeli police demolished a 10 metre ( yard ) by 20 metre structure in Jerusalem 's Old City they said had been built with funding from the Palestinian self-rule Authority for use as a social club .	S-MISC O O O O O O O O O O O O O S-LOC O B-LOC E-LOC O O O O O O O O O O O O O O O O O O O
Most , including former president F.W. de Klerk and African National Congress Deputy President Thabo Mbeki , offered apologies for any mistakes they had made and accepted broad responsibility for the actions of their foot soldiers .	O O O O O B-PER I-PER E-PER O O O O O O B-PER E-PER O O O O O O O O O O O O O O O O O O O O O
Standings ( tabulate under games played , won , drawn , lost ,	O O O O O O O O O O O O O
The Commission released the following documents :	O O O O O O O
Turnover fell to 937.891 million yuan from 1.215 billion , while net assets per share were 1.88 yuan , unchanged , and earnings per share fell to 0.005 yuan from 0.02 yuan , the statement said .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
John Kerry , even though she is n't old enough to vote .	B-PER E-PER O O O O O O O O O O O
Pohang 0 1 0 3 3 1	O O O O O O O
4. Debrecen 3 2 - 1 10 4 6	O O O O O O O O O
Queens Park Rangers 3 2 1 0 5 3 7	O O O O O O O O O O
6. Jans Koerts ( Netherlands ) Palmans	O B-PER E-PER O S-LOC O O
Bosnia 's election organisers will decide on Tuesday whether or not to postpone municipal elections scheduled as part of nationwide balloting , an OSCE spokeswoman said on Monday .	S-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O
LONDON 1996-08-24	S-LOC O
GROZNY , Russia 1996-08-23	S-LOC O S-LOC O
JOHANNESBURG 1996-08-22	S-LOC O
Brann - Mons Ivar Mjelde ( 10th ) , Jan Ove Pedersen ( 72nd )	O O B-PER I-PER E-PER O O O O B-PER I-PER E-PER O O O
BEIJING 1996-08-22	S-LOC O
GLASGOW 1996-08-23	S-LOC O
APRIL 1996 CDU / CSU SPD FDP Greens PDS	O O O O O O O O O
Australia last won the Davis Cup in 1986 , but they were beaten finalists against Germany three years ago under Fraser 's guidance .	S-LOC O O O B-MISC E-MISC O O O O O O O O O S-LOC O O O O S-PER O O O
Women 's singles 2nd round	O O O O O
6. Thomas Radstrom ( Sweden ) Toyota Celica 4.09	O B-PER E-PER O S-LOC O B-MISC E-MISC O
Alastair Macdonald	B-PER E-PER
The truce , the latest of several , was agreed in talks on Thursday between Russian peacemaker Alexander Lebed and rebel chief-of-staff Aslan Maskhadov .	O O O O O O O O O O O O O O O S-MISC O B-PER E-PER O O O B-PER E-PER O
-- Andrew Huddart , London Newsroom , +44 171 542 8716	O B-PER E-PER O O O O O O O O
Bowling : McGrath 7-2-13-1 ( 2w ) , Flemming 7-0-24-2 ( 3w , 3nb ) ,	O O S-PER O O O O O S-PER O O O O O O O
Halftime 1-0 .	O O O
PARIS 1996-08-27	S-LOC O
Industry output ( pct ) June - 7.8 m / m;-0.2yr / yr ( May +7.3;-3.6 )	O O O O O O O O O O O O O O O O O
Gasoline 400 400-425 425	O O O O
SOCCER - BELGIAN FIRST DIVISION RESULTS .	O O S-MISC O O O O
The companies had been contacted at the time and had not been fined for failing to pay , the official said .	O O O O O O O O O O O O O O O O O O O O O O
Spanish Farm Minister Loyola de Palacio had earlier accused Fischler at an EU farm ministers ' meeting of causing unjustified alarm through " dangerous generalisation . "	S-MISC O O B-PER I-PER E-PER O O O S-PER O O O O O O O O O O O O O O O O O
VfL Bochum 3 1 2 0 3 2 5	O O O O O O O O O
West Coast 21 15 0 6 2151 1673 128.6 60	O O O O O O O O O O
Salim Malik not out 100	B-PER E-PER O O O
DAC Dunajska Streda 1 Spartak Trnava 3	O O O O O O O
" The problem is they travel so much and are so busy that the ability to have any type of regimented routine workout does n't exist .	O O O O O O O O O O O O O O O O O O O O O O O O O O O
But Meri , 67 , has been accused in parliament of taking too much power and not always consulting parliamentarians before making decisions .	O S-PER O O O O O O O O O O O O O O O O O O O O O O
1. Osmond Ezinwa ( Nigeria ) 10.13 seconds	O B-PER E-PER O S-LOC O O O
Turkish Prime Minister Necmettin Erbakan visited mainly Moslem countries , including Iran , during a 10-day tour earlier in August .	S-MISC O O B-PER E-PER O O S-MISC O O O S-LOC O O O O O O O O O
ATLANTA 80 47 .630 -	O O O O O
Total 242	O O
He said Talbott , who was scheduled to return on Tuesday , would also to meet his Canadian counterpart , Gordon Smith , in Ottawa for talks that would include the situation in Haiti .	O O S-PER O O O O O O O O O O O O O O S-MISC O O B-PER E-PER O O S-LOC O O O O O O O O S-LOC O
Workers at Serbia 's Zastava arms factory entered the ninth day of their protest over unpaid wages on Thursday with management accused them of rejecting talks .	O O S-LOC O O O O O O O O O O O O O O O O O O O O O O O O
Men 's doubles	O O O
Geology prefessors were quoted as saying that their collection of 10,000 rocks , gathered from across the nation and abroad , were irreplaceable .	O O O O O O O O O O O O O O O O O O O O O O O O
Nobody should try and exaggerate it by calling it a bomb because it was just a molotov cocktail , Utomo said .	O O O O O O O O O O O O O O O O O O O S-PER O O
BASEBALL - MAJOR LEAGUE STANDINGS AFTER MONDAY 'S GAMES .	O O B-MISC E-MISC O O O O O O
Spokesman Glyn Davies said in a statement that the agreement followed direct U.S. contacts with Massoud Barzani , leader of the Kurdistan Democratic Party ( KDP ) , and Jalal Talabani , leader of the Patriotic Union of Kurdistan ( PUK ) .	O B-PER E-PER O O O O O O O O O S-LOC O O B-PER E-PER O O O O O O O O O O O O B-PER E-PER O O O O O O O O O O O O
nine of the superbike world championship on Sunday :	O O O O O O O O O
NATIONAL LEAGUE	B-MISC E-MISC
JulAug 775 787.50 unq unq	O O O O O
Oakland 3 BALTIMORE 0	O O O O
Deficit / surplus May - 215.0 - 269.3 - 248.3 - -	O O O O O O O O O O O O
Leading second round	O O O
He will leave on Thursday .	O O O O O O
Detective Richard Black of the Chesapeake Police Department , said a neighbour , Curtis Lee White II , 19 , was arrested in the attack , but had not been charged by late morning on Friday .	O B-PER E-PER O O O O O O O O O O B-PER I-PER I-PER E-PER O O O O O O O O O O O O O O O O O O O O
283 Tom Lehman 72 69 74 68 , Fred Funk 72 70 73 68 , Mark	O B-PER E-PER O O O O O B-PER E-PER O O O O O S-PER
Fernandez ( 6-13 ) allowed two runs , walked one and struck out eight for his second career complete game , both against Montreal .	S-PER O O O O O O O O O O O O O O O O O O O O O O O O
EMKAM 25.00 25.00 34684 867.100	O O O O O
Japanese Prime Minister Ryutaro Hashimoto marked the August 15 anniversary by expressing " remorse " for foreign victims of Japan 's World War Two atrocities .	S-MISC O O B-PER E-PER O O O O O O O O O O O O O O S-LOC O B-MISC I-MISC E-MISC O O
Traders said on Tuesday after-hours activity was light .	O O O O O O O O O
S. Jayasuriya not out 120	B-PER E-PER O O O
Veracruz 3 0 1 2 2 6 1	O O O O O O O O
A chain-smoking former paratroop general with a sharp line in deadpan putdowns and a soldier 's knack for making life sound simple , Lebed managed to arrange an ambitious ceasefire in the region last week , days after the Russian army threatened to bomb its way back into the rebel-held Chechen capital Grozny .	O O O O O O O O O O O O O O O O O O O O O O O S-PER O O O O O O O O O O O O O O O S-MISC O O O O O O O O O O S-MISC O S-LOC O
Wigan 22 19 1 2 902 326 39	O O O O O O O O
RUGBY LEAGUE - Australian rugby league standings .	B-MISC E-MISC O S-MISC O O O O
Oklahoma 's Agricultural Statistics Service showed similar conditions , rating topsoil moisture levels as seven percent surplus , 81 percent adequate and 12 percent short to very short .	S-LOC O O O O O O O O O O O O O O O O O O O O O O O O O O O O
LONDON 1996-08-24	S-LOC O
Strikers - Ronald de Boer ( Ajax ) , Gaston Taument ( Feyenoord ) , Jordi Cruyff ( Manchester United ) , Dennis Bergkamp ( Arsenal ) .	O O B-PER I-PER E-PER O O O O B-PER E-PER O O O O B-PER E-PER O O O O O B-PER E-PER O O O O
Net nil loss 447 mln	O O O O O
She played one great game and than a few errors .	O O O O O O O O O O O
Egypt says the Sudanese government helped the Moslem militants who tried to kill Mubarak in Addis Ababa last year .	S-LOC O O S-MISC O O O S-MISC O O O O O S-PER O B-LOC E-LOC O O O
Airdrieonians 0 East Fife 0	O O O O O
London 21 11 1 9 555 462 23	O O O O O O O O
Gas oil 1,600 1,650 1,850-1,900	O O O O O
U.S. premiums added to LME official cash settlement price , except for copper , which is added to the COMEX spot month .	S-LOC O O O O O O O O O O O O O O O O O O S-MISC O O O
SINGAPORE 1996-08-29	S-LOC O
5. Svetlana Zalevskaya ( Kazakhstan ) 1.91	O B-PER E-PER O S-LOC O O
South African all-rounder Shaun Pollock , forced to cut short his first season with Warwickshire to have ankle surgery , has told the English county he would like to return later in his career .	B-MISC E-MISC O B-PER E-PER O O O O O O O O O O O O O O O O O O S-MISC O O O O O O O O O O O
