S. Korea Daewoo , Dacom units in Polish telecom JV .	B-LOC E-LOC S-ORG O S-ORG O O S-MISC O O O
INDICATORS - Spain - updated August 29 .	O O S-LOC O O O O O
7 - Chris Walker ( England ) beat Amr Shabana ( Egypt ) 15-13 15-10 15-6	O O B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O O
Boby Brno 1 Sigma Olomouc 0	B-ORG E-ORG O B-ORG E-ORG O
1. Colonna 8:22:00	O S-PER O
Hernan Gumy ( Argentina ) beat Jared Palmer ( U.S. ) 6-7 ( 5-7 ) 6-3 7-6 ( 7-4 ) 0-6 7-6 ( 7-1 )	B-PER E-PER O S-LOC O O B-PER E-PER O S-LOC O O O O O O O O O O O O O O O
Tomorrow , if someone punches me , I would not know how to react . "	O O O O O O O O O O O O O O O O
Death toll of Algeria bomb put at seven-newspaper .	O O O S-LOC O O O O O
KANSAS CITY , Mo .	B-LOC E-LOC O S-LOC O
LONDON 1996-08-29	S-LOC O
PHILADELPHIA AT SAN FRANCISCO	S-ORG O B-LOC E-LOC
The agreement resolved a dispute that arose in June when Colombia turned down American 's request to operate flights between New York and Bogota , a denial that prompted the United States to charge that the Colombians were breaking a bilateral aviation agreement and to propose sanctions against one of two Colombian airlines , Avianca and ACES .	O O O O O O O O O O S-LOC O O S-ORG O O O O O O B-LOC E-LOC O S-LOC O O O O O O B-LOC E-LOC O O O O S-MISC O O O O O O O O O O O O O O S-MISC O O S-ORG O S-ORG O
M. Dekker not out 8	B-PER E-PER O O O
Commonwealth foreign ministers are to meet in London on Wednesday to discuss what action to take , after a visit to Nigeria was called off when the government imposed strict rules on whom the mission would be allowed to see .	S-ORG O O O O O O S-LOC O O O O O O O O O O O O O S-LOC O O O O O O O O O O O O O O O O O O O
A couple of helicopters flew over the city early on Thursday morning , but did not appear to be firing at anything .	O O O O O O O O O O O O O O O O O O O O O O O
Asif Mujtaba not out 1	B-PER E-PER O O O
The witchdoctor said ancestors had appeared to him in a dream and ordered him to return the head , said to have been carried off as a colonial trophy by the officer who shot and allegedly beheaded Hintsa after a battle in 1835 .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O S-PER O O O O O O
DECATUR , IL / CLINTON AND CEDAR RAPIDS , IA	S-ORG O S-LOC O B-ORG I-ORG I-ORG E-ORG O S-LOC
Results of German first division	O O S-MISC O O
But if you 're not and cannot contribute to your employer 's goals , you 'll be paid less .	O O O O O O O O O O O O O O O O O O O O
Police who had turned out in force all around the government quarter fearing violence looked on in amusement .	O O O O O O O O O O O O O O O O O O O
Fall of wickets : 1-64 2-85 3-116 4-205 5-248 6-273	O O O O O O O O O O
Lenzing expects negative results in H2 .	S-ORG O O O O O O
" I thought he looked a little unfocused at certain times on his ground strokes , " said Tillstrom .	O O O O O O O O O O O O O O O O O O S-PER O
Americast will provide the boxes to subscribers as part of the service .	S-ORG O O O O O O O O O O O O
The commander of Russian troops in Chechnya , Vyacheslav Tikhomirov , and Chechen rebel chief-of-staff Aslan Mashadov signed the deal under which the troop withdrawal is to resume on Wednesday .	O O O S-MISC O O S-LOC O B-PER E-PER O O S-MISC O O B-PER E-PER O O O O O O O O O O O O O O
Swindon .	S-ORG O
Nantes 3 0 1 2 2 5 1	S-ORG O O O O O O O
Earlier Botham arrived in Portsmouth from Southampton only to be told his services would not be required .	O S-PER O O S-LOC O S-LOC O O O O O O O O O O O
Euro 96 star Vladimir Smicer of the Czech Republic scored at the last second for Lens , allowing them to retain the lead in the French soccer league on Wednesday .	B-MISC E-MISC O B-PER E-PER O O B-LOC E-LOC O O O O O O S-ORG O O O O O O O O O S-MISC O O O O O
National	S-ORG
Texas 13 MINNESOTA 2	S-ORG O S-ORG O
Marriner said NATO forces confiscated 25 long-barreled AK-47 automatic assault rifles from the detained Serbs before setting them free .	S-PER O S-ORG O O O O S-MISC O O O O O O S-MISC O O O O O
Michael Stich nearly pulled out of the U.S. Open in protest over the men 's seeding fiasco but the former Wimbledon champion was glad he stayed after sweating out a four-set win on Monday over qualifier Tommy Haas .	B-PER E-PER O O O O O B-MISC E-MISC O O O O O O O O O O O S-MISC O O O O O O O O O O O O O O O B-PER E-PER O
-- Budapest newsroom ( 36 1 ) 266 2410	O S-LOC O O O O O O O
" It was called the " First Battle of the Newbury bypass ' , " said ARC 's Harding .	O O O O O O B-MISC I-MISC I-MISC I-MISC I-MISC E-MISC O O O O S-ORG O S-PER O
2. David Coulthard ( Britain ) McLaren 1:54.342	O B-PER E-PER O S-LOC O S-ORG O
Although fake guns are legal , the use he made of them means he could be tried , " a police official said .	O O O O O O O O O O O O O O O O O O O O O O O O
On Tuesday Lyman participated in a meeting of a joint-commission where he considered that the Angolan politicians should advance faster and find a way to cooperate .	O O S-PER O O O O O O O O O O O O S-MISC O O O O O O O O O O O
-- Garry West , Amsterdam newsroom +31 20 504 5000	O B-PER E-PER O S-LOC O O O O O
South African apartheid killer Eugene de Kock was found guilty of murder and attempted murder on Tuesday , a day after he was convicted of five other murders .	B-MISC E-MISC O O B-PER I-PER E-PER O O O O O O O O O O O O O O O O O O O O O O
P.V. Krishnamoorthy	B-PER E-PER
Some are commanding a very good premium of 95 cents to one dollar .	O O O O O O O O O O O O O O
Finland 's Juha Kankkunen produced an impressive performance in his Toyota on Saturday to open up a 37 seconds lead after six stages of the 1,000 Lakes Rally , sixth round of the world championship .	S-LOC O B-PER E-PER O O O O O O S-ORG O O O O O O O O O O O O O O B-MISC I-MISC E-MISC O O O O O O O O
Balloting inside Bosnia is scheduled for September 14 , when citizens are slated to elect municipal and cantonal assemblies , separate Moslem-Croat and Serb parliaments , a national House of Representatives and a three-man Presidency .	O O S-LOC O O O O O O O O O O O O O O O O O O S-MISC O S-MISC O O O O B-ORG I-ORG E-ORG O O O O O
Graeme Hick 1 2 0 8 4 4.00	B-PER E-PER O O O O O O
-- Bombay Commodities +91-22-265 9000	O B-ORG E-ORG O O
" The votes are a strong message to Meri that he is not favoured by some politicians any more , " Reform Party head Heiki Kranich told Reuters .	O O O O O O O O S-PER O O O O O O O O O O O O B-ORG E-ORG O B-PER E-PER O S-ORG O
Lokomotiva Kosice 4 1 1 2 3 5 4	B-ORG E-ORG O O O O O O O
" The head of state 's holiday has only just begun , " the agency quoted Sergei Yastrzhembsky as saying , adding that the president was currently in a Kremlin residence near Moscow .	O O O O O O O O O O O O O O O O B-PER E-PER O O O O O O O O O O O S-LOC O O S-LOC O
Record Oct 1	O O O
Second day	O O
World number one golfer Greg Norman has sacked his coach Butch Harmon after a disappointing season .	O O O O B-PER E-PER O O O O B-PER E-PER O O O O O
SOCCER - TOGO BEAT CONGO 1-0 IN AFRICA NATIONS CUP QUALIFIER .	O O S-LOC O S-LOC O O B-MISC I-MISC E-MISC O O
Evelyn Leopold	B-PER E-PER
Women 's singles	O O O
- Netanyahu opposes transit camps for foreign workers facing expulsion .	O S-PER O O O O O O O O O
Played on Friday :	O O O O
-- National Economy Minister Yannos Papandoniou defends " hard drachma " foreign exchange policy , says it wo n't change	O O O O B-PER E-PER O O O O O O O O O O O O O O
CLEVELAND 78 53 .595 -	S-ORG O O O O
But the church learned in a recent meeting with the local commander that no instructions to release the prisoners were received and they would be held until investigations were completed .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
BUENOS AIRES , Argentina 1996-08-29	B-LOC E-LOC O S-LOC O
Above-normal summer rainfall in the U.S. High Plains has produced near-ideal conditions for planting the 1997 hard red winter wheat crop , analysts said Wednesday .	O O O O O S-LOC B-LOC E-LOC O O O O O O O O O O O O O O O O O O
St Helens 21 19 0 2 884 441 38	B-ORG E-ORG O O O O O O O
Grid positions	O O
The Maoists oppose multi-party democracy and want to establish a communist state .	O S-MISC O O O O O O O O O O O
4. Robert Allenby ( Australia ) 291,088	O B-PER E-PER O S-LOC O O
Revenue freight-tonne kilometres ( million ) 1,600 up 7 pct	O O O O O O O O O O
It 's always difficult to win a match when you lose the first set , especially against someone you have never beaten , " he said .	O O O O O O O O O O O O O O O O O O O O O O O O O O O
More than 20,000 people have been killed in the 12-year-old conflict between Turkish troops and PKK guerrillas fighting for autonomy or independence from Turkey .	O O O O O O O O O O O O S-MISC O O S-ORG O O O O O O O S-LOC O
Duisburg 4 0 1 3 2 9 1	S-ORG O O O O O O O
Some electoral watchdog groups also said the presence of the army , which has fanned out across the state in the past month in search of a new guerrilla group , was likely to intimidate voters and had stirred up tension in the state .	O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Pakistan second innings	S-LOC O O
Results from the $ 450,000 Toshiba Classic tennis tournament on Saturday ( prefix number denotes seeding ) :	O O O O O B-MISC E-MISC O O O O O O O O O O O
Price Volume Turnover	O O O
Bonn says Moscow has promised to observe ceasefire .	S-LOC O S-LOC O O O O O O
Iraq 's Saddam meets Russia 's Zhirinovsky .	S-LOC O S-PER O S-LOC O S-PER O
Results of Austria first division	O O S-LOC O O
6. John Mayock ( Britain ) 3:33.94	O B-PER E-PER O S-LOC O O
An Indian Fisheries Department official said the government planned to urge fishermen not to cross the international boundary between India and Sri Lanka , but admitted this would be hard to enforce because of Sri Lanka 's pomfret-rich waters .	O B-ORG I-ORG E-ORG O O O O O O O O O O O O O O O S-LOC O B-LOC E-LOC O O O O O O O O O O O B-LOC E-LOC O O O O
It sponsored last week 's U.N. Security Council resolution threatening a ban on Sudanese flights abroad if Khartoum does not hand over three men accused in the Addis Ababa incident .	O O O O O B-ORG I-ORG E-ORG O O O O O S-MISC O O O S-LOC O O O O O O O O O B-LOC E-LOC O O
Leading results and overall standings after the 161 kilometre first stage of the Tour of the Netherlands between Gouda and Haarlem on Tuesday .	O O O O O O O O O O O O O B-MISC I-MISC I-MISC E-MISC O S-LOC O S-LOC O O O
The MQM speaks for Urdu-speaking Moslems who migrated from India at Partition in 1947 and their descendants .	O S-ORG O O B-MISC E-MISC O O O S-LOC O S-LOC O O O O O O
3. Malgorzata Rydz ( Poland ) 2:39.00	O B-PER E-PER O S-LOC O O
Hiddink did not name a replacement captain for Danny Blind , who announced his retirement from international soccer on Sunday .	S-PER O O O O O O O B-PER E-PER O O O O O O O O O O O
Dutch couple kidnapped in Costa Rica .	S-MISC O O O B-LOC E-LOC O
Attendance : 20,000	O O O
Nicaraguan president to go to U.S. for medical care .	S-MISC O O O O S-LOC O O O O
When controversy forced the draw to be done over -- against odds of 151-to-1 -- Medvedev and Fleurian drew each other a second time .	O O O O O O O O O O O O O O O S-PER O S-PER O O O O O O O
Surrey 128-4	S-ORG O
Investigators arrested a senior police detective on Sunday in connection with their inquiries into Belgium 's child sex scandal , Public Prosecutor Michel Bourlet said .	O O O O O O O O O O O O O O S-LOC O O O O O O O B-PER E-PER O O
Hot laminate production was 349,000 tonnes , 3.2 percent up from July 1995 and 0.8 percent up from June .	O O O O O O O O O O O O O O O O O O O O
TORONTO 1996-08-22	S-LOC O
BALTIMORE 10 Seattle 5	S-ORG O S-ORG O
Grobbelaar now plays for English second division leaders Plymouth Argyle after years in the top flight with Liverpool and Southampton .	S-PER O O O S-MISC O O O B-ORG E-ORG O O O O O O O S-ORG O S-ORG O
Dealers said the market seemed to be trading a range and would wait for more political polls to provide direction .	O O O O O O O O O O O O O O O O O O O O O
Ninety-day bank bill rates shed five points to 9.93 percent and September bank bill futures rose four to 90.18 .	O O O O O O O O O O O O O O O O O O O O
As part of the settlement agreement , customers who had CPI placed on loans from January 1 , 1986 to September 31 , 1996 , will receive cash or credit refunds , the bank said .	O O O O O O O O O O S-MISC O O O O O O O O O O O O O O O O O O O O O O O O O
8-0-33-0 , Tendulkar 6-0-29-1 , Kapoor 10-2-51-0 , Jadeja	O O S-PER O O S-PER O O S-PER
AEK Larnaca win 5-1 on aggregate	B-ORG E-ORG O O O O
He made the allegations at the trial of an Iranian and four Lebanese accused of carrying out the attack .	O O O O O O O O O S-MISC O O S-MISC O O O O O O O
TENNIS - WEDNESDAY 'S RESULTS FROM THE U.S. OPEN .	O O O O O O O B-MISC E-MISC O
The liquidity at month-end and the next court hearing scheduled for Thursday , " the dealer said .	O O O O O O O O O O O O O O O O O O
CINCINNATI AT COLORADO	S-ORG O S-LOC
We were gutted and there was nowhere to hide , they just kept coming at you , ' ' he said .	O O O O O O O O O O O O O O O O O O O O O O
18. Luxembourg 8.20	O S-LOC O
Martinez begins play against Ruxandra Dragomir of Romania .	S-PER O O O B-PER E-PER O S-LOC O
- Operating profit 46 vs 48	O O O O O O
Colombia 's Coast Guard on Thursday rescued 12 people lost for three days in an open boat off the Pacific coast , officials said .	S-LOC O B-ORG E-ORG O O O O O O O O O O O O O O O S-LOC O O O O O
Leading goalscorers in the French	O O O O S-MISC
British Data in merger talks with Mentmore .	B-ORG E-ORG O O O O S-ORG O
BALTIMORE 67 58 .536 5	S-ORG O O O O
But Catholic church officials said they had no confirmation of the report and would have to wait until Thursday to be sure .	O S-MISC O O O O O O O O O O O O O O O O O O O O O
Lada Togliatti 24 4 6 14 15 37 18	B-ORG E-ORG O O O O O O O
Barbara Rittner ( Germany ) beat 13 - Brenda Schultz-McCarthy (	B-PER E-PER O S-LOC O O O O B-PER E-PER O
The 50-year old monarch was accompanied by Queen Aishwarya on a flight to the Tibetan capital of Lhasa .	O O O O O O O O S-PER O O O O O S-MISC O O S-LOC O
Nice 4 0 1 3 3 7 1	S-ORG O O O O O O O
Shelbourne - Mark Rutherford ( 5th )	S-ORG O B-PER E-PER O O O
seconds and 12.033 seconds )	O O O O O
16. Belgium 8.22	O S-LOC O
But Scorpion was raising a lot of eyebrows after it issued a release Friday morning saying it was not aware of any developments that could have affected the stock .	O S-ORG O O O O O O O O O O O O O O O O O O O O O O O O O O O O
Richard Finn	B-PER E-PER
Kongsvinger 20 7 4 9 26 38 25	S-ORG O O O O O O O
BOGOTA , Colombia 1996-08-28	S-LOC O S-LOC O
Now , 60 days later , he had a chance to talk about it again .	O O O O O O O O O O O O O O O O
Many had taken part in the genocide that year of one million people , mostly Tutsis , and refuse to go home for fear of reprisal at the hands of the new Tutsi-dominated government in Kigali .	O O O O O O O O O O O O O O O S-MISC O O O O O O O O O O O O O O O O S-MISC O O S-LOC O
Swindon 1 Port Vale 1	S-ORG O B-ORG E-ORG O
Rangarajan explained that the cash reserve ratio was an instrument that central banks could use to regulate money supply by reducing or increasing the ratio .	S-PER O O O O O O O O O O O O O O O O O O O O O O O O O
The loan is at LIBOR plus one percent , it said .	O O O O S-MISC O O O O O O O
NOTE - Liu Chong Hing engages in property development and investment , warehousing , banking and insurance services .	O O B-ORG I-ORG E-ORG O O O O O O O O O O O O O O
On the foreign exchange markets , a survey indicating weaker than expected Japanese business sentiment boosted the dollar in early trading but it failed to build on its gains against the yen and slipped lower against the mark in quiet afternoon trade .	O O O O O O O O O O O O S-MISC O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
